roll_number,09-11-2024,09-11-2024,09-11-2024,09-11-2019,09-11-2019,09-11-2018,08-11-2025,08-11-2029,09-09-2009,10-11-2021,10-11-2021,10-11-2020,10-11-2019,10-11-2023
220001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001003,0,0,0,0,0,0,0,0,0,1,1,1,0,0
220001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001006,0,0,0,0,0,0,0,0,0,1,1,1,0,0
220001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001008,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001009,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001010,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001011,1,1,1,0,0,1,0,1,1,0,0,0,1,1
220001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001014,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001015,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001018,0,0,0,0,0,1,0,0,1,1,1,1,1,1
220001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001021,1,1,1,0,0,0,0,1,0,0,0,0,0,0
220001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001023,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001026,1,1,1,0,0,0,0,1,0,1,1,1,0,0
220001027,1,1,1,0,0,0,0,1,0,0,0,0,0,0
220001028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001033,0,0,0,0,0,0,0,0,0,1,1,1,0,0
220001034,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001035,0,0,0,0,0,1,0,0,1,1,1,1,1,1
220001036,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001037,1,1,1,0,0,0,0,1,0,0,0,0,0,0
220001038,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001039,0,0,0,0,0,0,0,0,0,1,1,1,0,0
220001040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001042,1,1,1,0,0,0,0,1,0,0,0,0,0,0
220001043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001044,0,0,0,1,1,1,1,0,1,1,1,1,1,1
220001045,1,1,1,0,0,0,0,1,0,1,1,1,0,0
220001046,1,1,1,0,0,0,0,1,0,0,0,0,0,0
220001047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001049,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001053,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001054,1,1,1,0,0,1,0,1,1,0,0,0,1,1
220001055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001056,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001063,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001064,1,1,1,0,0,0,0,1,0,0,0,0,0,0
220001065,0,0,0,0,0,1,0,0,1,1,1,1,1,1
220001066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001067,1,1,1,0,0,1,0,1,1,1,1,1,1,1
220001068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001069,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001073,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001075,1,1,1,0,0,0,0,1,0,0,0,0,0,0
220001076,1,1,1,0,0,0,0,1,0,0,0,0,0,0
220001077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001078,0,0,0,0,0,0,0,0,0,1,1,1,0,0
220001079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220001081,0,0,0,0,0,1,0,0,1,0,0,0,1,1
220001082,1,1,1,0,0,1,0,1,1,0,0,0,1,1
